#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	001-00-54-1A_CP05063_L001_taxonomic	001-00-54-2A_CP05063_L001_taxonomic	001-0001-1_CP05063_L001_taxonomic	001-0002-1_CP05063_L001_taxonomic	001-0003-1_CP05063_L001_taxonomic	001-0006-1_CP05063_L001_taxonomic	001-0007-1_CP05063_L001_taxonomic	001-0009-1_CP05063_L001_taxonomic	001-0010-1_CP05063_L001_taxonomic	001-0012-1_CP05063_L001_taxonomic	001-0013-1_CP05063_L001_taxonomic	001-0014-1_CP05063_L001_taxonomic	001-0015-1_CP05063_L001_taxonomic	001-0016-1_CP05063_L001_taxonomic	001-0017-1_CP05063_L001_taxonomic	001-0018-1A_CP05063_L001_taxonomic	001-0018-2A_CP05063_L001_taxonomic	001-0018-3A_CP05063_L001_taxonomic	001-0019-1A_CP05063_L001_taxonomic	001-0019-2A_CP05063_L001_taxonomic	001-0019-3A_CP05063_L001_taxonomic	001-0020-1A_CP05063_L001_taxonomic	001-0020-2A_CP05063_L001_taxonomic	001-0020-3A_CP05063_L001_taxonomic	001-0021-1A_CP05063_L001_taxonomic	001-0021-2A_CP05063_L001_taxonomic	001-0021-3A_CP05063_L001_taxonomic	001-0025-1A_CP05063_L001_taxonomic	001-0025-2A_CP05063_L001_taxonomic	001-0025-3A_CP05063_L001_taxonomic	001-0026-1A_CP05063_L001_taxonomic	001-0026-2A_CP05063_L001_taxonomic	001-0026-3A_CP05063_L001_taxonomic	001-0027-1A_CP05063_L001_taxonomic	001-0027-2A_CP05063_L001_taxonomic	001-0027-3A_CP05063_L001_taxonomic	001-0030-1A_CP05063_L001_taxonomic	001-0031-1A_CP05063_L001_taxonomic	001-0031-2A_CP05063_L001_taxonomic	001-0031-3A_CP05063_L001_taxonomic	001-0032-1A_CP05063_L001_taxonomic	001-0032-2A_CP05063_L001_taxonomic	001-0032-3A_CP05063_L001_taxonomic	001-0033-1A_CP05063_L001_taxonomic	001-0033-2A_CP05063_L001_taxonomic	001-0033-3A_CP05063_L001_taxonomic	001-0034-1A_CP05063_L001_taxonomic	001-0034-2A_CP05063_L001_taxonomic	001-0034-3A_CP05063_L001_taxonomic	001-0035-1A_CP05063_L001_taxonomic	001-0035-2A_CP05063_L001_taxonomic	001-0035-3A_CP05063_L001_taxonomic	001-0036-1A_CP05063_L001_taxonomic	001-0037-1A_CP05063_L001_taxonomic	001-0040-1A_CP05063_L001_taxonomic	001-0040-2A_CP05063_L001_taxonomic	001-0040-3A_CP05063_L001_taxonomic	001-0041-1A_CP05063_L001_taxonomic	001-0041-2A_CP05063_L001_taxonomic	001-0041-3A_CP05063_L001_taxonomic	001-0042-1A_CP05063_L001_taxonomic	001-0042-2A_CP05063_L001_taxonomic	001-0042-3A_CP05063_L001_taxonomic	001-0043-1A_CP05063_L001_taxonomic	001-0043-2A_CP05063_L001_taxonomic	001-0043-3A_CP05063_L001_taxonomic	001-0044-1A_CP05063_L001_taxonomic	001-0044-2A_CP05063_L001_taxonomic	001-0044-3A_CP05063_L001_taxonomic	001-0045-1A_CP05063_L001_taxonomic	001-0045-2A_CP05063_L001_taxonomic	001-0045-3A_CP05063_L001_taxonomic	001-0046-1A_CP05063_L001_taxonomic	001-0046-2A_CP05063_L001_taxonomic	001-0046-3A_CP05063_L001_taxonomic	001-0047-1A_CP05063_L001_taxonomic	001-0047-2A_CP05063_L001_taxonomic	001-0048-1A_CP05063_L001_taxonomic	001-0048-2A_CP05063_L001_taxonomic	001-0049-1A_CP05063_L001_taxonomic	001-0049-2A_CP05063_L001_taxonomic	001-0050-1A_CP05063_L001_taxonomic	001-0050-3A_CP05063_L001_taxonomic
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.46706	99.61474	100.0	100.0	100.0	99.99986	100.0	100.0	100.0	100.0	100.0	99.16165	99.49698	98.90094	100.0	100.0	100.0	99.9831	99.98704	99.9531	99.67712	99.86777	99.53573	100.0	100.0	100.0	100.0	100.0	100.0	99.7941	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99962	99.98815	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99769	99.02791	99.14149	99.82137	99.21329	99.94074	99.24708	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.97867	99.99409	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	73.19517	74.10209	55.44954	70.66728	83.33067	63.51207	81.65593	76.88603	69.35166	90.40196	64.82645	75.21059	76.85282	48.3359	70.23254	67.755	77.15718	78.32823	64.08842	85.18146	72.51898	77.03626	88.32778	76.70456	73.07831	82.86106	73.94112	88.338	80.86083	82.1039	53.8764	58.45686	45.83539	77.32976	63.91189	85.12711	76.92632	76.45825	73.04184	72.32406	55.61155	66.69962	75.44187	83.43971	93.5589	90.91263	72.76239	71.46244	81.07796	89.64597	84.5409	90.90226	58.40027	46.91849	29.39895	56.55355	72.19713	51.59738	70.61008	81.83545	76.04782	74.29389	66.78427	74.52794	82.28812	66.65677	81.28516	83.29891	85.57897	86.97125	89.37958	91.41948	73.32306	79.9476	49.82023	56.78614	68.05311	63.61839	72.78653	55.92025	60.04582	92.50415	94.00877
k__Bacteria|p__Bacteroidetes	16.58632	10.91546	14.71386	3.64369	9.99965	2.19487	7.69575	15.60081	15.4844	6.3409	6.61868	4.08561	3.02483	5.4994	2.25074	20.48086	11.55925	5.63259	14.45585	7.36261	14.28779	18.96867	7.64545	18.13074	9.51716	6.02342	6.28298	2.56633	1.90243	1.9249	6.88106	14.84215	36.20464	4.62215	21.69789	2.76696	7.07676	15.02785	20.69216	15.73891	30.56268	28.00233	18.86479	10.90771	2.7367	1.49446	16.50645	11.32004	3.65076	2.64581	5.34074	3.40084	7.15764	12.64514	45.71916	21.3146	7.0892	12.60236	9.59834	2.81251	8.80225	8.22695	16.27278	12.18742	9.97224	18.39156	12.68826	5.08138	10.20927	1.02573	1.03175	2.61633	0.70787	2.0839	3.04392	6.47729	2.47051	1.51529	6.23866	7.20032	22.88448	5.14532	3.14258
k__Bacteria|p__Actinobacteria	9.5415	14.39914	29.12784	12.44703	6.11496	33.58173	10.16868	5.89229	13.8441	2.53639	27.84372	15.90308	20.05593	45.52851	27.21547	11.30659	11.06423	15.00957	10.304	5.17575	8.86349	0.83759	1.35305	0.40392	15.50939	10.46757	16.56878	8.69499	16.10008	15.36509	37.32529	24.28804	13.67049	10.08868	3.34928	6.49545	13.64187	5.31445	4.00463	7.43349	8.98496	2.63592	4.95061	5.08212	3.55324	7.46634	9.04537	15.0669	14.12173	7.56719	9.76499	5.62251	32.80903	38.52201	24.27554	19.04421	20.47292	35.038	18.93187	15.11839	12.04622	15.02737	15.91703	4.29269	7.50521	7.50133	5.9701	11.58779	4.19579	11.49455	9.37391	5.67655	25.81363	17.60852	44.40657	36.1047	28.25065	34.14867	20.39626	34.61786	16.81498	1.70168	0.96568
k__Bacteria|p__Proteobacteria	0.67701	0.58331	0.70875	0.288	0.03753	0.45494	0.08886	1.08792	0.93458	0.71389	0.14238	0.14944	0.06629	0.12027	0.01695	0.45756	0.21845	0.34761	1.20267	0.29797	0.43072	0.0	0.0	0.0	0.2504	0.32758	0.1881	0.0778	1.00443	0.14185	0.00691	0.29809	0.82009	0.02747	0.31525	0.0	0.71694	0.49829	0.48116	0.58648	0.35656	0.36123	0.2117	0.29889	0.12223	0.05996	1.55	0.23874	0.0	0.01798	0.06691	0.03246	0.51682	0.52048	0.54514	0.35117	0.0561	0.37018	0.57798	0.07776	0.73025	0.14805	0.0343	0.24035	0.06133	1.20808	0.05119	0.03192	0.01597	0.04663	0.08353	0.05175	0.04277	0.01225	0.0332	0.07446	0.17465	0.00312	0.57856	0.07887	0.25473	0.64885	1.88297
k__Bacteria|p__Firmicutes|c__Clostridia	68.49862	72.64549	52.84157	60.44831	74.04761	47.31015	78.29215	65.47315	56.30424	81.93096	60.02799	72.06872	72.2573	43.51481	63.50529	62.81437	71.38618	71.86771	54.83314	76.43568	65.58804	74.22007	85.88851	73.00889	60.73541	75.74291	61.74695	77.78901	72.37435	72.78733	49.73942	55.83938	41.40944	74.97804	62.24983	82.62216	62.90617	68.67081	65.5442	66.68929	51.98465	62.4716	71.31436	80.13757	87.28973	87.18322	66.0298	68.87471	77.37283	82.55213	79.17172	83.9728	39.47531	41.45653	27.76507	54.15127	68.74236	46.58093	65.37899	78.58783	67.40502	65.69842	62.50416	59.54541	73.80649	56.80894	76.05792	77.14404	81.17249	82.47616	81.14079	86.34806	71.57833	73.58058	47.77145	49.12658	61.76668	60.48141	69.1054	52.98498	56.4889	86.55047	92.25092
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	15.33595	10.49908	14.17209	3.40036	9.32499	1.31056	7.06116	14.14151	11.93735	4.61243	5.60006	3.22267	1.07013	4.54735	0.92185	18.8161	10.38744	4.05047	13.92771	7.10768	13.92878	18.20965	7.23193	17.19846	8.04637	4.90313	4.98401	2.1347	0.83648	1.5634	6.12011	14.42987	35.62926	3.6258	20.91382	2.16575	6.33781	14.58418	20.38022	15.07153	30.07792	27.6868	18.44893	10.4991	2.41306	1.03563	14.20797	11.15993	3.14451	2.03078	5.06655	0.97245	6.41759	11.85852	45.58645	20.66201	5.95771	12.21305	9.39539	2.33634	8.25294	7.89311	16.07376	11.31131	8.96974	17.92779	12.18852	4.78888	9.78675	0.56221	0.71501	2.14827	0.55336	1.72711	2.96371	5.99237	1.98857	1.0652	5.26098	6.81559	21.22474	4.43468	2.163
k__Bacteria|p__Actinobacteria|c__Actinomycetia	8.53451	8.16407	28.62178	11.91893	2.66715	25.34414	3.30129	4.04802	8.95731	1.09235	18.23459	14.21586	15.70174	38.94727	22.10325	7.74255	6.88452	10.92851	7.60119	3.41926	7.8683	0.04471	0.12445	0.07401	10.61499	7.57443	11.06579	6.26071	8.28706	8.95379	29.4076	18.62083	10.62393	8.8641	2.60692	5.74544	0.06011	2.5392	1.07131	2.75416	7.59259	0.99885	3.21765	3.32005	2.57757	6.261	7.75336	10.25246	11.88193	7.18034	9.46137	5.54606	28.08114	33.55806	23.07965	16.2911	15.77799	32.73464	17.69931	13.27249	7.96906	10.32111	11.37614	1.3794	4.93101	1.09279	4.11866	9.27064	3.047	1.34621	0.8196	0.60918	18.94833	11.88429	29.19548	24.71652	20.26489	27.38108	17.43617	21.47509	12.72784	1.27368	0.24396
k__Bacteria|p__Firmicutes|c__Bacilli	3.20139	0.3557	1.23664	2.04093	6.62573	2.52032	0.42291	4.34178	0.52878	4.4773	0.45539	0.93959	1.3198	0.58265	0.883	2.96768	3.06487	3.47329	3.02196	0.38719	1.18282	1.69121	1.61925	3.18585	1.60662	1.74063	2.4935	1.38223	2.82347	1.4798	2.08776	1.00797	0.57368	1.50231	0.47862	1.3863	1.57507	1.15362	0.64323	1.76236	1.04915	0.49153	0.73292	2.16119	2.16767	2.28612	5.33622	0.39029	1.00172	1.07349	0.91653	2.61061	0.91743	2.17669	0.12379	0.28029	1.69706	0.34557	0.76284	0.59092	2.22251	2.267	0.32099	1.20809	1.13266	0.56907	1.25257	1.32107	1.4696	2.04167	4.93646	1.45967	0.64676	0.8506	0.06737	5.74813	4.1125	2.11027	2.42493	1.2991	2.47752	0.87897	0.55474
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1.25036	0.41638	0.54177	0.24333	0.67466	0.88431	0.63459	0.47986	1.11124	1.72847	1.01862	0.86293	1.95469	0.95205	1.32753	1.66476	1.17181	1.58213	0.52814	0.25494	0.35901	0.75902	0.41353	0.93228	1.03988	0.76177	0.96898	0.43163	1.06595	0.36149	0.76094	0.41229	0.57537	0.99635	0.78407	0.60121	0.7147	0.44366	0.31194	0.66738	0.48475	0.31553	0.41586	0.40861	0.32364	0.45883	2.29848	0.16011	0.50625	0.61502	0.27419	2.42839	0.71905	0.78662	0.1327	0.65259	1.1315	0.38931	0.20295	0.47617	0.45149	0.31213	0.19258	0.87612	1.0025	0.46376	0.49973	0.29249	0.42252	0.46351	0.31674	0.46806	0.1545	0.35679	0.08021	0.369	0.48194	0.4501	0.97767	0.38473	1.65973	0.71064	0.97958
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1.00698	6.23507	0.50606	0.52809	3.44781	7.81688	6.82455	1.84427	4.59791	1.44404	9.60912	1.68722	4.33544	5.65701	4.86423	3.54121	4.15668	3.92101	2.70281	1.75649	0.99519	0.79287	1.2286	0.32991	4.8944	2.89314	5.50299	1.75238	6.22883	5.77477	7.91769	5.66721	3.04656	1.22459	0.74236	0.75001	13.58175	2.77525	2.93332	4.67933	1.39237	1.63707	1.73296	1.76207	0.97567	1.20535	1.0906	4.03667	1.73746	0.38684	0.30362	0.07645	4.72789	4.96395	1.19589	2.75311	4.69493	2.30335	1.23255	1.84589	3.69348	3.98911	3.57226	2.494	2.50627	5.65581	1.62944	2.04033	0.97992	8.73717	8.45551	4.94225	6.8653	5.72423	15.21108	11.36881	7.98277	6.76758	2.96009	13.14276	4.08714	0.428	0.72172
k__Bacteria|p__Firmicutes|c__Negativicutes	0.9045	0.77696	0.25161	4.06899	0.54496	0.66635	0.4145	3.6989	0.53817	1.84146	3.79708	0.49474	0.37039	0.54168	0.49991	0.33326	0.50145	0.30319	0.63578	0.76959	0.94985	0.333	0.01789	0.0206	1.16069	0.99749	1.44283	5.56338	4.03777	4.58327	0.46195	0.82254	1.1835	0.1618	0.57177	0.10605	1.32919	0.93329	1.59532	0.83513	0.83748	1.38652	0.87627	0.24262	0.17787	0.21507	0.2184	0.44144	0.58501	1.14119	1.38335	2.57569	1.21019	0.02931	0.26859	0.72289	0.21916	1.25989	0.2363	0.04043	1.35417	2.39297	2.9372	5.45728	5.73895	3.98251	0.13358	0.25243	0.18844	0.38329	0.0935	0.31764	0.51644	1.26695	0.51665	1.013	1.54954	0.17757	0.15451	0.17744	0.27889	0.52858	0.03943
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.54876	0.58331	0.58562	0.0	0.00055	0.0	0.00418	0.0	0.03545	0.51374	0.10696	0.02293	0.0	0.0	0.0	0.02745	0.01033	0.0	0.00331	0.01262	0.0	0.0	0.0	0.0	0.04874	0.00588	0.01001	0.02039	0.05428	0.03486	0.00086	0.19537	0.53977	0.0	0.01095	0.0	0.0	0.07371	0.20083	0.10081	0.0	0.02863	0.01326	0.09532	0.01507	0.01457	0.55628	0.10651	0.0	0.0	0.0	0.0	0.0	0.0	0.14585	0.03644	0.0	0.15907	0.12023	0.0	0.10948	0.0	0.01081	0.03641	0.02918	0.2015	0.0047	0.01261	0.00316	0.0	0.0	0.0	0.0	0.0	0.0	0.00089	0.0004	0.0	0.00308	0.03252	0.04663	0.49437	0.19595
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.51412	0.2614	0.34923	0.11881	0.37552	6.38509	0.15527	0.01063	9.5013	0.58753	0.32258	0.44309	0.36233	0.4978	0.06761	1.14207	1.23864	1.72491	1.07024	3.73842	1.42398	0.79198	0.80213	0.48922	0.41137	0.37675	0.59441	0.00112	0.69713	0.03996	0.57074	0.24182	0.3562	0.56721	0.33695	0.78567	4.58601	0.28436	0.13776	0.41679	0.44197	0.47439	0.28031	0.25164	0.19743	0.16349	0.27252	0.20843	0.14426	0.0906	0.04667	1.02543	0.31288	0.36554	0.02283	0.04976	0.54617	0.05766	0.03916	0.1184	0.10805	0.04386	0.01593	0.18796	0.41786	0.33744	0.92439	0.31271	0.88936	0.40206	0.88564	0.78217	0.13972	0.19729	0.0	0.07812	0.13651	0.2748	0.68622	0.0894	0.56476	0.12004	0.61675
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.12309	0.0	0.0	0.0	0.03698	0.4328	0.08468	0.03894	0.65587	0.20015	0.03543	0.00406	0.00941	0.00972	0.01695	0.41301	0.2044	0.34172	0.30962	0.02307	0.02743	0.0	0.0	0.0	0.03785	0.30822	0.13391	0.05378	0.94061	0.09034	0.00348	0.0	0.0	0.0	0.00255	0.0	0.33393	0.15923	0.1165	0.10068	0.16707	0.15382	0.04009	0.00834	0.0	0.0138	0.92112	0.04633	0.0	0.01161	0.0	0.00086	0.46453	0.52048	0.0	0.06087	0.0037	0.0	0.02343	0.02304	0.49241	0.11455	0.00614	0.20394	0.03215	0.98085	0.0081	0.00231	0.00458	0.0	0.0	0.0	0.0	0.01225	0.0332	0.01288	0.14497	0.00312	0.56462	0.04381	0.06824	0.15447	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.07653	0.06254	0.77049	1.95302	0.08866	0.0	0.42293	0.06313	0.0138	0.50334	0.10595	0.04497	0.17059	0.0	0.0	0.07881	0.49609	0.03449	0.0112	0.44362	0.26063	0.0	0.0	0.0	0.09751	0.11113	0.13092	0.42969	0.15788	0.07682	0.0	0.04082	0.03309	0.0	0.0	0.0	0.00468	0.06415	0.21759	0.1893	0.06928	0.57408	0.44122	0.46041	0.49819	0.17079	0.03276	0.18412	1.2659	0.0107	0.07669	0.14186	0.0	0.0	0.04265	0.0	0.0	0.03298	0.11939	0.10554	0.06847	0.12431	0.10786	0.00572	0.16588	0.01241	0.08998	0.3287	0.18951	0.06699	0.9398	0.72052	0.11538	0.26953	0.04565	0.01643	0.01344	0.18481	0.0	0.71856	0.00609	0.13116	0.30245
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.00517	0.0	0.0	0.0	0.0	0.02214	0.0	0.09509	0.07228	0.0	0.0	0.1094	0.0	0.0	0.0	0.0	0.0	0.0	0.03951	0.01018	0.0	0.0	0.0	0.0	0.01605	0.01347	0.01318	0.0	0.0	0.0	0.0	0.02373	0.04039	0.0	0.29493	0.0	0.13657	0.01884	0.02673	0.0041	0.03503	0.08273	0.07341	0.0	0.0	0.0	0.00934	0.02195	0.0	0.00354	0.02473	0.0	0.05229	0.0	0.12718	0.0277	0.0	0.05039	0.01819	0.05433	0.00806	0.0	0.00438	0.0	0.0	0.01214	0.0	0.0	0.0	0.04519	0.06774	0.03695	0.0	0.0	0.0	0.06069	0.02042	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	68.05779	72.23336	50.97256	60.37892	70.21099	47.13375	71.90768	65.15634	54.58025	81.90609	58.24765	67.13654	67.5959	43.29561	61.94095	61.09062	68.32373	69.8979	51.79467	70.0883	59.30618	74.22007	85.88851	73.00889	56.57582	70.14802	56.6108	72.20109	68.11222	72.19955	48.84861	53.13037	40.14712	74.73618	62.01728	82.59606	62.39936	67.35772	63.42402	64.86385	51.65315	62.16267	70.00421	78.32233	82.31462	80.96466	63.51812	65.58068	70.2727	72.15873	71.695	78.56837	39.15561	41.45653	27.40886	54.04726	68.74044	42.481	61.46236	74.64925	63.56523	61.35265	60.29833	58.70795	72.97358	55.96879	75.33771	75.85545	80.11285	80.41951	79.95238	84.76081	70.1012	70.25341	45.8619	48.22709	61.29218	59.29935	67.55273	52.1885	55.56612	83.60027	91.4707
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	15.33595	10.49908	14.17209	3.40036	9.32499	1.31056	7.06116	14.14151	11.93735	4.61243	5.60006	3.22267	1.07013	4.54735	0.92185	18.8161	10.38744	4.05047	13.92771	7.10768	13.92878	18.20965	7.23193	17.19846	8.04637	4.90313	4.98401	2.1347	0.83648	1.5634	6.12011	14.42987	35.62926	3.6258	20.91382	2.16575	6.33781	14.58418	20.38022	15.07153	30.07792	27.6868	18.44893	10.4991	2.41306	1.03563	14.20797	11.15993	3.14451	2.03078	5.06655	0.97245	6.41759	11.85852	45.58645	20.66201	5.95771	12.21305	9.39539	2.33634	8.25294	7.89311	16.07376	11.31131	8.96974	17.92779	12.18852	4.78888	9.78675	0.56221	0.71501	2.14827	0.55336	1.72711	2.96371	5.99237	1.98857	1.0652	5.26098	6.81559	21.22474	4.43468	2.163
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	8.51373	8.16407	28.56763	11.8886	2.66715	25.09787	3.30129	3.46297	8.8425	0.71109	18.22451	14.20751	15.67458	38.85671	22.09461	7.72418	6.84721	10.85031	7.5449	3.41703	7.8683	0.00894	0.0	0.0	10.30038	7.47027	10.84099	5.63877	7.05539	8.40025	29.20499	18.51855	10.52797	8.5416	2.5975	5.42131	0.0	2.47885	1.05564	2.64296	7.44106	0.91813	3.19666	3.24515	2.45952	6.08633	7.67017	10.13692	11.87441	7.16596	9.40107	5.35867	27.96106	33.55509	23.07965	16.29049	15.76905	32.52685	17.62293	12.89004	7.49898	9.8641	11.25794	1.3663	4.83893	1.06842	4.08095	9.22288	2.98548	0.59646	0.64064	0.25183	18.92121	11.72854	29.19548	24.69436	20.14194	27.30116	17.11348	21.42224	12.43533	1.17408	0.01964
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2.65831	0.15812	1.06678	1.97244	6.3551	2.14794	0.21752	4.19192	0.38837	3.87557	0.14453	0.63904	0.54855	0.23812	0.3547	2.3344	2.61021	2.84897	2.82442	0.27493	1.05655	1.38531	1.44349	2.86311	1.23376	1.45041	2.10144	1.22361	2.35661	1.29273	1.80607	0.8555	0.35847	1.16763	0.16896	1.15713	1.24778	0.90369	0.4998	1.53433	0.90968	0.36497	0.58778	2.02858	2.06287	2.10527	4.40921	0.25168	0.7956	0.81128	0.80419	1.66514	0.53566	1.88339	0.04743	0.03882	1.2584	0.16836	0.62905	0.4114	2.03394	2.13226	0.23009	0.91734	0.72385	0.32827	1.06522	1.21867	1.32434	1.84177	4.80768	1.26763	0.54869	0.7088	0.01508	5.6168	3.93344	1.90171	1.91754	1.1306	1.65394	0.51094	0.12922
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	1.25036	0.41638	0.54177	0.24333	0.67466	0.88431	0.63459	0.47986	1.11124	1.72847	1.01862	0.86293	1.95469	0.95205	1.32753	1.66476	1.17181	1.58213	0.52814	0.25494	0.35901	0.75902	0.41353	0.93228	1.03988	0.76177	0.96898	0.43163	1.06595	0.36149	0.76094	0.41229	0.57537	0.99635	0.78407	0.60121	0.7147	0.44366	0.31194	0.66738	0.48475	0.31553	0.41586	0.40861	0.32364	0.45883	2.29848	0.16011	0.50625	0.61502	0.27419	2.42839	0.71905	0.78662	0.1327	0.65259	1.1315	0.38931	0.20295	0.47617	0.45149	0.31213	0.19258	0.87612	1.0025	0.46376	0.49973	0.29249	0.42252	0.46351	0.31674	0.46806	0.1545	0.35679	0.08021	0.369	0.48194	0.4501	0.97767	0.38473	1.65973	0.71064	0.97958
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0.74027	0.64983	0.25161	3.98855	0.0	0.0	0.0	3.56167	0.18051	1.28193	3.55534	0.49474	0.0	0.0	0.28471	0.0	0.0	0.0	0.00667	0.48661	0.21533	0.333	0.01789	0.0206	0.72736	0.69922	1.12235	5.56338	3.98473	4.55387	0.46195	0.82254	1.1835	0.0	0.0	0.0	1.20659	0.0	0.00045	0.0	0.0	0.0	0.0	0.08298	0.04462	0.0274	0.2184	0.44144	0.58501	1.14119	1.38335	2.57569	1.21019	0.0	0.0	0.0	0.0	1.25989	0.0164	0.00808	0.68324	2.10426	2.80229	5.24514	5.61548	3.50625	0.0	0.0	0.01717	0.0	0.0	0.0	0.44289	1.225	0.51665	0.93817	1.51483	0.0	0.0	0.09503	0.00657	0.52858	0.03943
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.5604	4.74272	0.06553	0.42331	3.27073	7.45859	6.74688	1.69474	3.94342	0.59621	8.8562	1.2238	3.90209	5.07112	4.10007	3.03681	3.46237	3.32695	1.32477	1.59587	0.78954	0.0	0.0	0.0	2.78724	2.24419	4.72546	1.68473	6.0135	5.30663	7.17596	4.87717	2.67987	0.02846	0.08594	0.10077	12.01465	2.25268	2.45714	4.19677	0.81028	0.81049	1.37331	0.64918	0.81724	0.72718	0.1062	0.05068	0.04075	0.05401	0.03486	0.006	1.65622	4.6437	1.15252	2.68591	4.68892	2.2676	1.22651	1.80937	3.41032	3.8862	3.56047	1.66485	2.10709	3.06582	1.33182	1.8929	0.80615	5.83116	7.77289	3.97636	6.44282	5.13833	14.08894	11.17293	7.81281	6.52133	2.16074	11.7153	2.86349	0.00661	0.07031
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.54876	0.58331	0.58562	0.0	0.00055	0.0	0.00418	0.0	0.03545	0.51374	0.10696	0.02293	0.0	0.0	0.0	0.02745	0.01033	0.0	0.00331	0.01262	0.0	0.0	0.0	0.0	0.04874	0.00588	0.01001	0.02039	0.05428	0.03486	0.00086	0.19537	0.53977	0.0	0.01095	0.0	0.0	0.07371	0.20083	0.10081	0.0	0.02863	0.01326	0.09532	0.01507	0.01457	0.55628	0.10651	0.0	0.0	0.0	0.0	0.0	0.0	0.14585	0.03644	0.0	0.15907	0.12023	0.0	0.10948	0.0	0.01081	0.03641	0.02918	0.2015	0.0047	0.01261	0.00316	0.0	0.0	0.0	0.0	0.0	0.0	0.00089	0.0004	0.0	0.00308	0.03252	0.04663	0.49437	0.19595
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.54309	0.19758	0.16986	0.06849	0.27063	0.37237	0.20539	0.14986	0.1404	0.60173	0.31086	0.30055	0.77125	0.34453	0.5283	0.63329	0.45466	0.62432	0.19754	0.11227	0.12627	0.3059	0.17576	0.32274	0.37286	0.29022	0.39206	0.15862	0.46686	0.18707	0.28169	0.15248	0.21521	0.33468	0.30966	0.22917	0.32729	0.24994	0.14343	0.22804	0.13947	0.12656	0.14514	0.13262	0.1048	0.18085	0.92701	0.13861	0.20612	0.26221	0.11234	0.94546	0.38178	0.29329	0.07636	0.24147	0.43866	0.17721	0.13379	0.17951	0.18857	0.13474	0.0909	0.29075	0.40881	0.2408	0.18735	0.1024	0.14526	0.1999	0.12879	0.19204	0.09807	0.1418	0.05229	0.13133	0.17906	0.20856	0.50738	0.1685	0.82358	0.36803	0.42552
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0.51412	0.2614	0.34923	0.11881	0.37552	6.38509	0.15527	0.01063	9.5013	0.58753	0.32258	0.44309	0.36233	0.4978	0.06761	1.14207	1.23864	1.72491	1.07024	3.73842	1.42398	0.79198	0.80213	0.48922	0.41137	0.37675	0.59441	0.00112	0.69713	0.03996	0.57074	0.24182	0.3562	0.56721	0.33695	0.78567	4.58601	0.28436	0.13776	0.41679	0.44197	0.47439	0.28031	0.25164	0.19743	0.16349	0.27252	0.20843	0.14426	0.0906	0.04667	1.02543	0.31288	0.36554	0.02283	0.04976	0.54617	0.05766	0.03916	0.1184	0.10805	0.04386	0.01593	0.18796	0.41786	0.33744	0.92439	0.31271	0.88936	0.40206	0.88564	0.78217	0.13972	0.19729	0.0	0.07812	0.13651	0.2748	0.68622	0.0894	0.56476	0.12004	0.61675
